nr,certificate_number,registration_date,name,administrator,location,county
515,578,2011-03-21,Spital Borsa - Valea Pietroasa - Statia Meteo Iezer - Varful Pietrosu - Varful Rebra - Tarnita La Cruce - Varful Cormaia,Consiliul Local al Orasului Borsa,Muntii Rodnei,Maramures
516,579,2011-03-21,Gura Negoescu - Valea Negoescu - Caldarea Glaciara Puzdre - Saua Galatiului,Consiliul Local al Orasului Borsa,Muntii Rodnei,Maramures
517,580,2011-03-21,Complexul Turistic Borsa - Gura Fantanii - Buza Dealului - Puzdre - Saua Laptelui,Consiliul Local al Orasului Borsa,Muntii Rodnei,Maramures
518,581,2011-03-21,Complexul Turistic Borsa - Poiana Runcu Stiolului - Saua Stiol - Saua Gargalau,Consiliul Local al Orasului Borsa,Muntii Rodnei,Maramures
519,582,2011-03-21,Complexul turistic Borsa - Cascada Izvorul Cailor - Saua Stiol - Pasul Prislop,Consiliul Local al Orasului Borsa,Muntii Rodnei,Maramures
520,583,2011-03-21,Sesuri - Varful Fantanele - Cabana Fantana Stanchii - Dealul Bucatii - Varful Taslei - Baia Borsa,Consiliul Local al Orasului Borsa,Muntii Maramuresului,Maramures
521,584,2011-03-21,Pasul Prislop - Cabana Fantana Stanchii - Tarnita Balasinii - Magura Cataramei - Saua Galiu,Consiliul Local al Orasului Borsa,Muntii Maramuresului,Maramures
522,585,2011-03-21,Baia Borsa - Varful Secu - Mina Gura Baii - Refugiul Lucaceasca - Macarlau - Varful Vaserului,Consiliul Local al Orasului Borsa,Muntii Maramuresului,Maramures
523,586,2011-08-04,Crucea lui Sfantul Andrei,Consiliul Judetean Caras-Severin,Podisul Mehedinti,Caras-Severin
524,587,2011-08-04,Vodita - Dealul Duhovnei,Consiliul Judetean Caras-Severin,Podisul Mehedinti,Caras-Severin
525,588,2011-08-04,Taravat,Consiliul Judetean Caras-Severin,Podisul Mehedinti,Caras-Severin
526,589,2011-08-04,Racovat - Baldovin,Consiliul Judetean Caras-Severin,Podisul Mehedinti,Caras-Severin
527,590,2011-08-04,Alion,Consiliul Judetean Caras-Severin,Podisul Mehedinti,Caras-Severin
528,591,2011-08-04,Ciucaru Mic,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
529,592,2011-08-04,Dubova - Ciucaru Mic,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
530,593,2011-08-04,Ciucaru Mare,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
531,594,2011-08-04,Ciucaru Mare - Ponicova,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
532,595,2011-08-04,Cioanca Cremeneasca - Rudina,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
533,596,2011-08-04,Liubotina - Cioanca Cremeneasca,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
534,597,2011-08-04,Svinita - Trikule,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
535,598,2011-08-04,Trescovat,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
536,599,2011-08-04,Valea Morilor de Apa - Camenita,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
537,600,2011-08-04,Balta Hera - Ostrovul Moldova Veche,Consiliul Judetean Caras-Severin,Muntii Almajului,Caras-Severin
538,601,2011-11-23,Podeni - Creasta Muntilor Mehedinti - La Ciucioare,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
539,602,2011-11-23,Gorneti - Creasta Muntilor Mehedinti - Poiana Balta Cerbului,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
540,603,2011-11-23,Izverna - Poiana Beletina,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
541,604,2011-11-23,Isverna - Saua Crovul Mare,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
542,605,2011-11-23,Balta - Lunca Ponoralului - Crovul lui Rascracea - Pestera Mare de la Balta - Paraul Baltii - Balta,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
543,606,2011-11-23,Podul lui Dumnezeu - Lacul Carstic Zaton,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
544,607,2011-11-23,Versantul drept din Cheile Balutei,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
545,608,2011-11-23,Poiana La Varnita - Gaura lui Ciocardie,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
546,609,2011-11-23,Poiana La Varnita - Cornetul Prosacului - Pestera Epuran,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
547,610,2011-11-23,Bala - Bala de Sus - Busesti - Dalma - Runcsoru - Rudina - Bala,Consiliul Judetean Mehedinti,Muntii Mehedinti,Mehedinti
548,611,2011-11-28,Ohaba de sub Piatra - Lacul Bucura - Cabana Buta - Cheile Butii - Campu lui Neag,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
549,612,2011-11-28,Pui - Hobita - Varful Papusa - Varful Bucura I - Varful Retezat - Lacul Stevia - Partia Rausor - Baza Salvamont Rausor,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
550,613,2011-11-28,Uricani - Curmatura Tulisa - Varful Custura - Saua Paltina - Varful Galbena - Varful Godeanu,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
551,614,2011-11-28,Cabana Pietrele - Valea Gales - Lacul Gales - Saua Varful Mare - Varful Mare,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
552,615,2011-11-28,Cabana Pietrele - Valea Rea - Taurile din Valea Rea - Saua Pelegii,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
553,616,2011-11-28,Cabana Pietrele - Valea Stanisoarei - Lacul Stanisoara - Saua Retezatului - Varful Retezat,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
554,617,2011-11-28,Cabana Pietrele - Culmea Lolaia - Saua Ciurila - Varful Lolaia - Saua Lolaia - Varful Retezat - Saua Retezatului - Poarta Bucurei - Taul Portii - Lacul Bucura,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
