nr,certificate_number,registration_date,name,administrator,location,county
501,564,2011-02-15,Băile Herculane - Cheile Pecinișcăi - Poiana Padeș,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
502,565,2011-02-15,Băile Herculane - Cheile Ferigari - Vârful Șoimului - Peștera Mare de la Soroniște,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
503,566,2011-02-15,Băile Herculane - Cheile Ferigari - Obârșia Văii Ferigari - Creasta Podeni,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
504,567,2011-02-15,Băile Herculane - Crucea Albă - Izvorul Jelărău - Culmea munților Mehedinți,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
505,568,2011-02-15,Băile Herculane - Crucea Albă - Vârful Domogledu Mic - Cheile Ferigari - Fosta Fabrică de Var,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
506,569,2011-02-15,Băile Herculane - Crucea Albă - Vârful Izvorul Jelărău - Vârful Susaie,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
507,570,2011-02-15,Cărarea Pisicii - Vârful Domogledu Mic - Vârful Domogledu Mare,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
508,571,2011-02-15,Băile Herculane - Crucea Albă - Izvorul Jelărău - La Șușoare - La Marginea,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
509,572,2011-02-15,Băile Herculane - Cheile Șaua Padina - La Marginea,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
510,573,2011-02-15,Băile Herculane - Cascada Cociului,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
511,574,2011-02-15,Băile Herculane - Poiana Fântâna Moșului - Creasta Gorneti,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
512,575,2011-02-15,Băile Herculane - Poiana Fântâna Moșului - Poiana Balta Cerbului - Poiana Tăsuc,Consiliul Județean Caraș-Severin,Munții Mehedinți,Caraș-Severin
513,576,2011-02-15,Băile Herculane - Izvorul Conteselor - Biserica Ortodoxă,Consiliul Județean Caraș-Severin,Masivul Domogled,Caraș-Severin
514,577,2011-03-21,Vârful Rebra - Tarnița La Cruce - Șaua Galațului - Vârful Gărgălău,Consiliul Local al Orașului Borșa,Munții Rodnei,Maramureș
515,578,2011-03-21,Spital Borșa - Valea Pietroasa - Stația Meteo Iezer - Vârful Pietrosu - Vârful Rebra - Tarnița La Cruce - Vârful Cormaia,Consiliul Local al Orașului Borșa,Munții Rodnei,Maramureș
516,579,2011-03-21,Gura Negoescu - Valea Negoescu - Căldarea Glaciară Puzdre - Șaua Galațiului,Consiliul Local al Orașului Borșa,Munții Rodnei,Maramureș
517,580,2011-03-21,Complexul Turistic Borșa - Gura Fântânii - Buza Dealului - Puzdre - Șaua Laptelui,Consiliul Local al Orașului Borșa,Munții Rodnei,Maramureș
518,581,2011-03-21,Complexul Turistic Borșa - Poiana Runcu Știolului - Șaua Știol - Șaua Gărgălău,Consiliul Local al Orașului Borșa,Munții Rodnei,Maramureș
519,582,2011-03-21,Complexul turistic Borșa - Cascada Izvorul Cailor - Șaua Știol - Pasul Prislop,Consiliul Local al Orașului Borșa,Munții Rodnei,Maramureș
520,583,2011-03-21,Șesuri - Vârful Fântânele - Cabana Fântâna Stanchii - Dealul Bucății - Vârful Tâșlei - Baia Borșa,Consiliul Local al Orașului Borșa,Munții Maramureșului,Maramureș
521,584,2011-03-21,Pasul Prislop - Cabana Fântâna Stanchii - Tarnița Bălăsinii - Măgura Cataramei - Șaua Gâliu,Consiliul Local al Orașului Borșa,Munții Maramureșului,Maramureș
523,586,2011-08-04,Crucea lui Sfântul Andrei,Consiliul Județean Caraș-Severin,Podișul Mehedinți,Caraș-Severin
