certificate_number,column,correction
35,location,CLEANING_RULE.CONVERT_CHARS
35,county,CLEANING_RULE.CONVERT_CHARS
36,name,CLEANING_RULE.CONVERT_CHARS
36,name,CLEANING_RULE.CORRECT_STICKY_DASHES
36,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
36,administrator,CLEANING_RULE.CONVERT_CHARS
36,location,CLEANING_RULE.CONVERT_CHARS
36,county,CLEANING_RULE.CONVERT_CHARS
37,name,CLEANING_RULE.CONVERT_CHARS
37,name,CLEANING_RULE.CORRECT_STICKY_DASHES
37,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
37,administrator,CLEANING_RULE.CONVERT_CHARS
37,location,CLEANING_RULE.CONVERT_CHARS
37,county,CLEANING_RULE.CONVERT_CHARS
38,name,CLEANING_RULE.CONVERT_CHARS
38,name,CLEANING_RULE.CORRECT_STICKY_DASHES
38,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
38,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
38,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
38,administrator,CLEANING_RULE.CONVERT_CHARS
38,county,CLEANING_RULE.CONVERT_CHARS
39,name,CLEANING_RULE.CONVERT_CHARS
39,name,CLEANING_RULE.CORRECT_STICKY_DASHES
39,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
39,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
39,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
39,administrator,CLEANING_RULE.CONVERT_CHARS
39,county,CLEANING_RULE.CONVERT_CHARS
40,name,CLEANING_RULE.CONVERT_CHARS
40,name,CLEANING_RULE.CORRECT_STICKY_DASHES
40,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
40,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
40,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
40,administrator,CLEANING_RULE.CONVERT_CHARS
40,county,CLEANING_RULE.CONVERT_CHARS
41,name,CLEANING_RULE.CONVERT_CHARS
41,name,CLEANING_RULE.CORRECT_STICKY_DASHES
41,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
41,administrator,CLEANING_RULE.CONVERT_CHARS
41,county,CLEANING_RULE.CONVERT_CHARS
42,name,CLEANING_RULE.CONVERT_CHARS
42,name,CLEANING_RULE.CORRECT_STICKY_DASHES
42,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
42,administrator,CLEANING_RULE.CONVERT_CHARS
42,county,CLEANING_RULE.CONVERT_CHARS
43,name,CLEANING_RULE.CONVERT_CHARS
43,name,CLEANING_RULE.CORRECT_STICKY_DASHES
43,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
43,administrator,CLEANING_RULE.CONVERT_CHARS
43,county,CLEANING_RULE.CONVERT_CHARS
44,name,CLEANING_RULE.CONVERT_CHARS
44,name,CLEANING_RULE.CORRECT_STICKY_DASHES
44,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
44,administrator,CLEANING_RULE.CONVERT_CHARS
44,county,CLEANING_RULE.CONVERT_CHARS
45,name,CLEANING_RULE.CONVERT_CHARS
45,name,CLEANING_RULE.CORRECT_STICKY_DASHES
45,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
45,administrator,CLEANING_RULE.CONVERT_CHARS
45,county,CLEANING_RULE.CONVERT_CHARS
46,name,CLEANING_RULE.CONVERT_CHARS
46,name,CLEANING_RULE.CORRECT_STICKY_DASHES
46,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
46,administrator,CLEANING_RULE.CONVERT_CHARS
46,county,CLEANING_RULE.CONVERT_CHARS
47,name,CLEANING_RULE.CONVERT_CHARS
47,name,CLEANING_RULE.CORRECT_STICKY_DASHES
47,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
47,administrator,CLEANING_RULE.CONVERT_CHARS
47,county,CLEANING_RULE.CONVERT_CHARS
48,name,CLEANING_RULE.CONVERT_CHARS
48,name,CLEANING_RULE.CORRECT_STICKY_DASHES
48,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
48,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
48,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
48,administrator,CLEANING_RULE.CONVERT_CHARS
48,county,CLEANING_RULE.CONVERT_CHARS
49,name,CLEANING_RULE.CONVERT_CHARS
49,name,CLEANING_RULE.CORRECT_STICKY_DASHES
49,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
49,administrator,CLEANING_RULE.CONVERT_CHARS
49,county,CLEANING_RULE.CONVERT_CHARS
