nr,certificate_number,registration_date,name,administrator,location,county
276,276,2006-12-11,Satul Slătioara - Codrul secular Slătioara - Vârful Todirescu,Consiliul Județean Suceava,Masivul Rarău,Suceava
277,278,2006-12-11,Comuna Pojorîta - Valea Izvorul Giumalău - Șaua Colbului,Consiliul Județean Suceava,Masivul Rarău,Suceava
278,279,2006-12-11,Sat Valea Putnei - Poiana Sapele - Vârful Alunu - Vârful Giumalau - Cabana Zugreni,Consiliul Județean Suceava,Masivul Giumalău,Suceava
279,280,2006-12-11,Curmătura Prislop - Poiana Todirescu - Popii Rarăului - Cabana Rarău - Vârful Giumalău - Poiana Ticseni - Cabana Mestecăniș,Consiliul Județean Suceava,Masivul Giumalău,Suceava
280,281,2006-12-11,Cabana Giumalău - Polița Caprelor,Consiliul Județean Suceava,Masivul Giumalău,Suceava
281,282,2006-12-11,Sat Chiril - Cabana Rarău,Consiliul Județean Suceava,Masivul Rarău,Suceava
282,283,2006-12-11,Vatra Dornei - Obcina Mare - Obcina Mică - Poiana Ticseni,Consiliul Județean Suceava,Masivul Giumalău,Suceava
283,284,2006-12-11,"Traseul Circuit Rezervația ""Pietrele Doamnei"" - Masivul Rarău",Consiliul Județean Suceava,Masivul Rarău,Suceava
284,285,2007-03-13,Vatra Dornei - Dealul Drăncani - Obcina Mică - Poiana Ciungi - Cabana Giumalău cu ramnificație spre Vârful Giumalău,Consiliul Local Vatra Dornei,Masivul Giumalău,Suceava
285,286,2007-03-13,Vatra Dornei - Vârful Bârnăbel - Obcina Mică - Poiana Fierului - Pasul Mestecăniș,Consiliul Local Vatra Dornei,Masivul Giumalău,Suceava
286,289,2007-03-13,Zugreni - Pârâul Colbu - Piciorul Țepușelor - Cabana Giumalău - Vârful Giumalău,Consiliul Local Vatra Dornei,Masivul Giumalău,Suceava
287,294,2007-03-13,Comuna Dorna Candreni - Șesu Muntelui - Pârâul Haju,Consiliul Local Vatra Dornei,Munții Suhard,Suceava
288,296,2007-03-13,Vatra Dornei - Poiana Spânzului - Poiana Snopului - apa Rece - Comuna Șarul Dornei,Consiliul Local Vatra Dornei,Munții Căliman,Suceava
289,352,2008-04-15,Stâna de Vale - Vârful Cucurbăta Mare (Bihorul),Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
290,353,2008-04-15,Sat Pietroasa - Șaua Bohodei - Valea Aleului),Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
291,354,2008-04-15,Satul de vacanță Boga - Șaua Bohodei,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
292,355,2008-04-15,"Camping ""La grajduri"" - Casa de Piatră",Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
293,356,2008-04-15,Sat Pietroasa - Comuna Arieșeni,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
294,357,2008-04-15,Șaua Vârtop - Ștei,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
295,358,2008-04-15,Sat Câmpani - DN 75 km 25 +100,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
296,359,2008-04-15,Circuitul Peșterii Urșilor,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
297,360,2008-04-15,Cabana Vlădeasa - Gârda de Sus,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
298,361,2008-04-15,Piatra Grăitoare - Camping Runcu Ars (Ponor),Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
299,362,2008-04-15,Circuitul Izvoarelor Someșului Cald,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
300,363,2008-04-15,Cantonul forestier Padiș - Cabana Vărășoaia,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
301,364,2008-04-15,Circuit Măgura Vânătă,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
302,365,2008-04-15,Sat Pietroasa - Cabana Padiș,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
303,366,2008-04-15,Circuitul Gropii de la Barsa,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
304,367,2008-04-15,Circuitul Cetăților Ponorului,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
305,368,2008-04-15,Circuitul Galbenei,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
306,369,2008-04-15,Cabana Padiș - Poiana Căput,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
307,370,2008-04-15,Cabana Padiș - Avenul Negru - Avenul Acoperit - avenul Pionierilor,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
308,371,2008-04-15,Cabana Padiș - Ghețarul Scărișoara,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
309,372,2008-06-30,Mate Pal Vârful Lăcăuți,Consiliul Județean Covasna,Munții Brețcului,Covasna
310,373,2008-06-30,Olyves - Vârful Lăcăuți,Consiliul Județean Covasna,Munții Brețcului,Covasna
311,374,2008-06-30,Comandău - Creasta Mții Brețcului,Consiliul Județean Covasna,Munții Brețcului,Covasna
312,375,2008-06-30,Creasta Mții Brețcului,Consiliul Județean Covasna,Munții Brețcului,Covasna
313,376,2008-06-30,Comuna Zăbala - Vârful Lăcăuți,Consiliul Județean Covasna,Munții Brețcului,Covasna
314,377,2008-06-30,Comuna Ghelința - Vârful Corobert,Consiliul Județean Covasna,Munții Brețcului,Covasna
315,378,2008-06-30,Creasta Munții Baraolt (Piatra Vecel - Hatod),Consiliul Județean Covasna,Munții Baraolt,Covasna
316,379,2009-05-18,Dâmbul Pietros - Watzmann - Dealul Maiod Vârful Terebici,Consiliul Județean Mureș,Munții Gurghiu,Mureș
317,380,2009-05-18,Platoul Cornești - Drumul Sasului - Dealul Nou - Sângeorgiu de Mureș,Consiliul Județean Mureș,Munții Gurghiu,Mureș
318,381,2009-05-18,Cartier Tudor - Platoul Cornești,Consiliul Județean Mureș,Munții Gurghiu,Mureș
319,382,2009-05-18,Fabrica Masini Calcul - Grădina Zoo - Universitatea de Medicină,Consiliul Județean Mureș,Munții Gurghiu,Mureș
320,383,2009-05-18,Drumul Sasului - Poligon Vânătoresc - Sub Ciere - pepiniera Livezenie,Consiliul Județean Mureș,Munții Gurghiu,Mureș
321,384,2009-05-18,Dealul Nou - Vârful Terebici - Drumul spre Poenită,Consiliul Județean Mureș,Munții Gurghiu,Mureș
322,385,2009-05-18,Glăjărie - Valea Casna - Poiana Iad,Consiliul Județean Mureș,Munții Gurghiu,Mureș
323,386,2009-05-18,Stânceni - Valea Gudea Mică - Vârful Fâncel,Consiliul Județean Mureș,Munții Gurghiu,Mureș
324,387,2009-05-18,Poiana Schwartz - Vârful Lespez - Poiana Zespel,Consiliul Județean Mureș,Munții Gurghiu,Mureș
325,388,2009-05-18,Neagra - Pârâul Schwartz - Poiana Cădăreni - Neagra,Consiliul Județean Mureș,Munții Gurghiu,Mureș
326,389,2009-05-18,Neagra - Creasta Suhacani - Poiana Cădăreni - 7 Poieni - Neagra,Consiliul Județean Mureș,Munții Gurghiu,Mureș
327,390,2009-05-18,Sălard - Valea Sălard - Valea Salea - Culmea Fâncel,Consiliul Județean Mureș,Munții Gurghiu,Mureș
328,391,2009-05-18,Sălard - Creasta Hedan - Poiana Belciu - Poiana Ion,Consiliul Județean Mureș,Munții Gurghiu,Mureș
329,392,2009-05-18,Gura Văii Sestina - Valea Sestina - Poiana Moita,Consiliul Județean Mureș,Munții Gurghiu,Mureș
330,393,2009-05-18,Gura Văii Tiba Mare - Valea Tiba Mare - Vârful Sălășel,Consiliul Județean Mureș,Munții Gurghiu,Mureș
331,394,2009-05-18,Androneasa - Valea Tomoroaga - Poiana Barta - Vârful Sălășel,Consiliul Județean Mureș,Munții Gurghiu,Mureș
332,395,2009-05-18,Răstolita - Vârful Sistes - Valea Iod - Valea Rusu - Poiana Rusu,Consiliul Județean Mureș,Munții Gurghiu,Mureș
333,396,2009-05-18,Câmpu Cetății - Dealul Vardomb - Câmpu Cetății,Consiliul Județean Mureș,Munții Gurghiu,Mureș
334,397,2009-05-18,Răstolița - Valea Iod - Poiana Iod,Consiliul Județean Mureș,Munții Gurghiu,Mureș
335,398,2009-05-18,Câmpu Cetății - Culmea Ciorolab - Cresova,Consiliul Județean Mureș,Munții Gurghiu,Mureș
336,399,2009-05-18,Câmpu Cetății - Culmea Tâmpa - Eremitu,Consiliul Județean Mureș,Munții Gurghiu,Mureș
337,400,2009-05-18,Câmpu Cetății - Valea Nirajul Mic - Stanca Mesei - Vârful Saca Mare,Consiliul Județean Mureș,Munții Gurghiu,Mureș
338,401,2009-05-18,Săcădat - Valea Isnica - Vârful Becheci,Consiliul Județean Mureș,Munții Gurghiu,Mureș
339,402,2009-05-18,Șasveres - Pădurea Mare - Piatra Siclodului,Consiliul Județean Mureș,Munții Gurghiu,Mureș
340,403,2009-05-18,Sovata - Valea Sebes - Vârful Saca Mare,Consiliul Județean Mureș,Munții Gurghiu,Mureș
341,404,2009-05-18,Sovata - Creasta Cireșu - Vârful Saca Mare - Valea Isopului,Consiliul Județean Mureș,Munții Gurghiu,Mureș
342,405,2009-05-18,Eremitu - Vârful Becheci - Culmea Restod - Sovata,Consiliul Județean Mureș,Munții Gurghiu,Mureș
343,406,2009-05-18,Tihu Răstoliței - Șaua Tihului,Consiliul Județean Mureș,Munții Călimani,Mureș
344,407,2009-05-18,Valea Secu - Poiana Lungă - Tăul Zânelor,Consiliul Județean Mureș,Munții Călimani,Mureș
345,408,2009-05-18,Răstolița - Valea Vișa - Poiana Stângii,Consiliul Județean Mureș,Munții Călimani,Mureș
346,409,2009-05-18,Gălăoaia - Poiana Stângii - Zăpodea cu Podul - Valea Bistra,Consiliul Județean Mureș,Munții Călimani,Mureș
347,410,2009-05-18,Bistra Mureșului - Vârful Scaunul Domnului,Consiliul Județean Mureș,Munții Călimani,Mureș
348,411,2009-05-18,Stânceni - Valea Zebrac - Poiana Zebrac,Consiliul Județean Mureș,Munții Călimani,Mureș
349,412,2009-05-18,Valea Ilișoara Mare - Valea Cucumbertul - Șaua Nicovala,Consiliul Județean Mureș,Munții Călimani,Mureș
350,413,2009-05-18,Tihul Ilvei - Vârful Tihu,Consiliul Județean Mureș,Munții Călimani,Mureș
351,414,2009-05-18,Lunca Bradului - Valea Ilva Mare - Șaua Negoiu,Consiliul Județean Mureș,Munții Călimani,Mureș
352,415,2009-05-18,Sălard - Poiana Obcinelor - Valea Fântânel - Lunca Bradului,Consiliul Județean Mureș,Munții Călimani,Mureș
353,416,2009-05-18,Sălard - La Sărăcin,Consiliul Județean Mureș,Munții Călimani,Mureș
354,417,2009-05-18,Valea Bistra - Zăpodea cu Cale - Zăpodea Ursului,Consiliul Județean Mureș,Munții Călimani,Mureș
355,418,2009-05-18,Gura Cofului - Valea Cofului - Poiana Cofului,Consiliul Județean Mureș,Munții Călimani,Mureș
356,419,2009-05-18,Bistra Mureșului - Valea Bistra - Poiana Cofu,Consiliul Județean Mureș,Munții Călimani,Mureș
357,420,2009-05-18,Valea Rusca - Vârful Tihu,Consiliul Județean Mureș,Munții Călimani,Mureș
358,421,2009-05-26,Furnalul Bodvaj - Creasta Munții Harghitei,Consiliul Județean Covasna,Munții Harghitei,Covasna
359,422,2009-06-01,Mănastirea Bistrița - Cheile Bistriței - Curmătura Rodeanu,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
360,423,2009-06-01,Sat Pietreni - Cheile Costești - Șaua Zmeuret,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
361,424,2009-06-01,Vârful Bistrița - Vârful Târnicirului - Vârful Prislop,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
362,425,2009-06-01,Sat Pietreni - Muntele Cacova - Cabana Cheia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
363,426,2009-06-01,Comuna Bărbătești - Dealul Siliștea - Vârful Costești,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
364,427,2009-06-01,Comuna Bărbătești - Vârful Otăsăului - Curmătura Buila,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
365,428,2009-06-01,Comuna Bărbătești - Schit Iezer - Cabana Cheia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
366,429,2009-06-01,Schitul Pahonie - Muchia Frumoasa - Șaua Ștevioara,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
367,430,2009-06-01,Schitul Pahonie - Stâna Oale - Curmătura Comarnic,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
368,431,2009-06-01,Vârful Prislop - Muntele Cacova - Vârful Vânturița - Curmătura Oale,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
369,432,2009-06-01,Sat Vârful Cheii - Vârful Cheia - Canton Silvic Comarnice - Cabana Cheia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
370,433,2009-06-01,Canton Silvic Codric - Șaua La Lac - Șaua Ștogșoara - Cabana Cheia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
